algorithm,scenario_index,run_id,source,dest,bandwidth_requirement,path,cost,delay_ms,reliability_cost,resource_cost
SARSA (Optimized),10,4,85,180,24.0,"[85, 234, 180]",8.883723329482205,15.78,0.09498044217375318,4.826145984150395
SARSA (Optimized),11,0,87,193,98.0,"[87, 127, 193]",7.188924037060328,12.41,0.06166653617073031,4.827120381045546
SARSA (Optimized),11,1,87,193,98.0,"[87, 193]",7.390307464785021,14.0,0.004008021397538822,1.9455252918287937
SARSA (Optimized),11,2,87,193,98.0,"[87, 193]",7.390307464785021,14.0,0.004008021397538822,1.9455252918287937
SARSA (Optimized),11,3,87,193,98.0,"[87, 193]",7.390307464785021,14.0,0.004008021397538822,1.9455252918287937
SARSA (Optimized),11,4,87,193,98.0,"[87, 193]",7.390307464785021,14.0,0.004008021397538822,1.9455252918287937
SARSA (Optimized),12,0,94,68,115.0,"[94, 9, 68]",7.5790086077594125,13.91,0.05052677771021835,3.044252872231734
SARSA (Optimized),12,1,94,68,115.0,"[94, 172, 68]",5.946935180828665,10.52,0.08112218509970248,3.3129926264937706
SARSA (Optimized),12,2,94,68,115.0,"[94, 118, 68]",7.951868478400511,12.76,0.040319704022584134,7.7988628359686825
SARSA (Optimized),12,3,94,68,115.0,"[94, 80, 68]",12.802609020871127,24.27,0.1059953415616021,3.1790520920132312
SARSA (Optimized),12,4,94,68,115.0,"[94, 233, 68]",8.56666069209907,14.2,0.10688905661489244,7.172969875573019
SARSA (Optimized),13,0,97,7,45.0,"[97, 81, 116, 7]",13.115746563947017,23.98,0.10020481034556968,5.478425604216732
SARSA (Optimized),13,1,97,7,45.0,"[97, 39, 7]",9.501100154752534,14.97,0.07907720791846606,9.961884961884962
SARSA (Optimized),13,2,97,7,45.0,"[97, 210, 7]",9.591138566854212,17.53,0.09774303580000518,3.984078280571051
SARSA (Optimized),13,3,97,7,45.0,"[97, 145, 7]",10.062843099155165,18.59,0.07397905184891695,3.728246918002448
SARSA (Optimized),13,4,97,7,45.0,"[97, 222, 7]",7.974540253782222,14.9,0.04032811649808545,2.5622090941639817
SARSA (Optimized),14,0,98,70,144.0,"[98, 89, 70]",10.091349115739686,19.04,0.07442190203993729,2.745112725638529
SARSA (Optimized),14,1,98,70,144.0,"[98, 106, 70]",13.812509734565234,23.66,0.07010936310324835,9.807384628171297
SARSA (Optimized),14,2,98,70,144.0,"[98, 90, 70]",8.46566551325125,14.23,0.07131688777915045,6.646352234587528
SARSA (Optimized),14,3,98,70,144.0,"[98, 195, 70]",10.652009440334265,20.07,0.0660511525879112,2.9859704727894534
SARSA (Optimized),14,4,98,70,144.0,"[98, 51, 70]",10.5865023220267,19.18,0.05620478868498915,4.898204427106011
SARSA (Optimized),15,0,103,242,189.0,"[103, 242]",2.827157308801926,5.0,0.04395188752918283,1.5698587127158556
SARSA (Optimized),15,1,103,242,189.0,"[103, 242]",2.827157308801926,5.0,0.04395188752918283,1.5698587127158556
SARSA (Optimized),15,2,103,242,189.0,"[103, 242]",2.827157308801926,5.0,0.04395188752918283,1.5698587127158556
SARSA (Optimized),15,3,103,242,189.0,"[103, 242]",2.827157308801926,5.0,0.04395188752918283,1.5698587127158556
SARSA (Optimized),15,4,103,242,189.0,"[103, 242]",2.827157308801926,5.0,0.04395188752918283,1.5698587127158556
SARSA (Optimized),16,0,108,129,84.0,"[108, 119, 129]",8.749403465615956,16.48,0.08441409829452735,2.4203961806379883
SARSA (Optimized),16,1,108,129,84.0,"[108, 140, 129]",9.883767419114557,18.51,0.11111825969869973,2.9771597060247323
SARSA (Optimized),16,2,108,129,84.0,"[108, 140, 129]",9.883767419114557,18.51,0.11111825969869973,2.9771597060247323
SARSA (Optimized),16,3,108,129,84.0,"[108, 140, 129]",9.883767419114557,18.51,0.11111825969869973,2.9771597060247323
SARSA (Optimized),16,4,108,129,84.0,"[108, 140, 129]",9.883767419114557,18.51,0.11111825969869973,2.9771597060247323
SARSA (Optimized),17,0,142,136,82.0,"[142, 136]",2.2942744151578363,4.0,0.016129381929883644,1.447178002894356
SARSA (Optimized),17,1,142,136,82.0,"[142, 136]",2.2942744151578363,4.0,0.016129381929883644,1.447178002894356
SARSA (Optimized),17,2,142,136,82.0,"[142, 136]",2.2942744151578363,4.0,0.016129381929883644,1.447178002894356
SARSA (Optimized),17,3,142,136,82.0,"[142, 136]",2.2942744151578363,4.0,0.016129381929883644,1.447178002894356
SARSA (Optimized),17,4,142,136,82.0,"[142, 136]",2.2942744151578363,4.0,0.016129381929883644,1.447178002894356
SARSA (Optimized),18,0,155,81,59.0,"[155, 32, 81]",8.294664231368232,12.67,0.06603718383839656,9.699265381083563
SARSA (Optimized),18,1,155,81,59.0,"[155, 209, 81]",8.733530354140278,13.22,0.09277350219317651,10.47849151741163
SARSA (Optimized),18,2,155,81,59.0,"[155, 203, 81]",7.776438836820368,11.27,0.10143567238615864,10.555040675522603
SARSA (Optimized),18,3,155,81,59.0,"[155, 211, 54, 81]",8.730345691095287,15.85,0.15081424651723882,3.800507085700583
SARSA (Optimized),18,4,155,81,59.0,"[155, 237, 81]",9.02175122522194,16.3,0.0959045644158647,4.214899279485904
SARSA (Optimized),19,0,159,177,47.0,"[159, 231, 201, 177]",9.853397583045046,17.619999999999997,0.0981128199835374,5.069818685249926
SARSA (Optimized),19,1,159,177,47.0,"[159, 234, 177]",7.485666299705658,13.78,0.11424171703364451,2.8069689229778216
SARSA (Optimized),19,2,159,177,47.0,"[159, 37, 221, 177]",12.607987206799852,20.13,0.14444149110172422,12.498273797346679
SARSA (Optimized),19,3,159,177,47.0,"[159, 190, 177]",10.377522692843314,18.57,0.09054456590247073,5.326796615362858
SARSA (Optimized),19,4,159,177,47.0,"[159, 108, 201, 177]",9.537728982843921,17.299999999999997,0.16605547263408066,4.189561705268494
SARSA (Optimized),20,0,180,225,169.0,"[180, 225]",7.3871352002121755,14.0,0.05129329438755058,1.858736059479554
SARSA (Optimized),20,1,180,225,169.0,"[180, 225]",7.3871352002121755,14.0,0.05129329438755058,1.858736059479554
SARSA (Optimized),20,2,180,225,169.0,"[180, 225]",7.3871352002121755,14.0,0.05129329438755058,1.858736059479554
SARSA (Optimized),20,3,180,225,169.0,"[180, 225]",7.3871352002121755,14.0,0.05129329438755058,1.858736059479554
SARSA (Optimized),20,4,180,225,169.0,"[180, 225]",7.3871352002121755,14.0,0.05129329438755058,1.858736059479554
SARSA (Optimized),21,0,187,189,174.0,"[187, 189]",4.24004424344621,8.0,0.05024121643674679,1.124859392575928
SARSA (Optimized),21,1,187,189,174.0,"[187, 189]",4.24004424344621,8.0,0.05024121643674679,1.124859392575928
SARSA (Optimized),21,2,187,189,174.0,"[187, 189]",4.24004424344621,8.0,0.05024121643674679,1.124859392575928
SARSA (Optimized),21,3,187,189,174.0,"[187, 189]",4.24004424344621,8.0,0.05024121643674679,1.124859392575928
SARSA (Optimized),21,4,187,189,174.0,"[187, 189]",4.24004424344621,8.0,0.05024121643674679,1.124859392575928
SARSA (Optimized),22,0,189,128,18.0,"[189, 246, 128]",9.34921004142371,17.44,0.09051369495140708,3.0102796646914296
SARSA (Optimized),22,1,189,128,18.0,"[189, 115, 128]",7.997351982211969,14.21,0.12041625328287053,4.281135531135531
SARSA (Optimized),22,2,189,128,18.0,"[189, 207, 128]",7.889952252717819,13.35,0.07820498731646378,5.9574537826143965
SARSA (Optimized),22,3,189,128,18.0,"[189, 137, 128]",4.996381693226742,8.81,0.040417232697375086,2.89628261708765
SARSA (Optimized),22,4,189,128,18.0,"[189, 231, 128]",9.883153480331748,17.9,0.07199636746864602,4.557772850455777
SARSA (Optimized),23,0,196,143,191.0,"[196, 22, 143]",9.876378331940245,17.93,0.05676343679482909,4.471746504508976
SARSA (Optimized),23,1,196,143,191.0,"[196, 20, 143]",5.576906719957046,9.88,0.10200706697960736,3.0315229993158175
SARSA (Optimized),23,2,196,143,191.0,"[196, 20, 143]",5.576906719957046,9.88,0.10200706697960736,3.0315229993158175
SARSA (Optimized),23,3,196,143,191.0,"[196, 20, 170, 143]",11.29427980271591,20.599999999999998,0.12092973585935132,4.790004409790528
SARSA (Optimized),23,4,196,143,191.0,"[196, 181, 217, 143]",12.68991992333263,23.73,0.10647073182330502,3.9648935189281898
SARSA (Optimized),24,0,212,75,148.0,"[212, 75]",1.8463189353645837,3.0,0.03770186718401153,1.6750418760469012
SARSA (Optimized),24,1,212,75,148.0,"[212, 75]",1.8463189353645837,3.0,0.03770186718401153,1.6750418760469012
SARSA (Optimized),24,2,212,75,148.0,"[212, 75]",1.8463189353645837,3.0,0.03770186718401153,1.6750418760469012
SARSA (Optimized),24,3,212,75,148.0,"[212, 75]",1.8463189353645837,3.0,0.03770186718401153,1.6750418760469012
SARSA (Optimized),24,4,212,75,148.0,"[212, 75]",1.8463189353645837,3.0,0.03770186718401153,1.6750418760469012
SARSA (Optimized),25,0,224,27,32.0,"[224, 234, 27]",6.619710451561036,9.78,0.0940942655277909,8.507410859513497
SARSA (Optimized),25,1,224,27,32.0,"[224, 6, 27]",9.279356858708056,16.51,0.10173920275571377,4.9691754894067035
SARSA (Optimized),25,2,224,27,32.0,"[224, 69, 27]",8.293267739494562,14.97,0.10692775647170781,3.8809470627652445
SARSA (Optimized),25,3,224,27,32.0,"[224, 36, 27]",11.373579350126121,18.75,0.03322676146677858,9.943056608430442
SARSA (Optimized),25,4,224,27,32.0,"[224, 148, 27]",10.564276761611167,19.91,0.05900842806145128,2.9578711659636516
SARSA (Optimized),26,0,235,139,190.0,"[235, 139]",5.389189038988964,9.0,0.0010005003335835344,4.444444444444445
SARSA (Optimized),26,1,235,139,190.0,"[235, 139]",5.389189038988964,9.0,0.0010005003335835344,4.444444444444445
SARSA (Optimized),26,2,235,139,190.0,"[235, 139]",5.389189038988964,9.0,0.0010005003335835344,4.444444444444445
SARSA (Optimized),26,3,235,139,190.0,"[235, 139]",5.389189038988964,9.0,0.0010005003335835344,4.444444444444445
SARSA (Optimized),26,4,235,139,190.0,"[235, 139]",5.389189038988964,9.0,0.0010005003335835344,4.444444444444445
SARSA (Optimized),27,0,245,94,33.0,"[245, 94]",5.57393666400685,10.0,0.019182819416773987,2.840909090909091
SARSA (Optimized),27,1,245,94,33.0,"[245, 94]",5.57393666400685,10.0,0.019182819416773987,2.840909090909091
SARSA (Optimized),27,2,245,94,33.0,"[245, 94]",5.57393666400685,10.0,0.019182819416773987,2.840909090909091
SARSA (Optimized),27,3,245,94,33.0,"[245, 94]",5.57393666400685,10.0,0.019182819416773987,2.840909090909091
SARSA (Optimized),27,4,245,94,33.0,"[245, 94]",5.57393666400685,10.0,0.019182819416773987,2.840909090909091
SARSA (Optimized),28,0,246,144,119.0,"[246, 160, 144]",11.512097817313155,21.43,0.07523330972397851,3.872639121979808
