algorithm,scenario_index,run_id,source,dest,bandwidth_requirement,path,total_cost,delay_ms,reliability_cost,resource_cost
QLearning,4,2,12,220,300.0,"[12, 91, 220]",13.014469116266454,24.53493025711774,0.08363306351334354,3.6095703432679054
QLearning,4,3,12,220,300.0,"[12, 91, 220]",13.014469116266454,24.53493025711774,0.08363306351334354,3.6095703432679054
QLearning,4,4,12,220,300.0,"[12, 91, 220]",13.014469116266454,24.53493025711774,0.08363306351334354,3.6095703432679054
QLearning,5,0,33,44,100.0,"[33, 36, 44]",14.543347802484723,26.365548034152997,0.08300976570294188,6.678354278486705
QLearning,5,1,33,44,100.0,"[33, 36, 44]",14.543347802484723,26.365548034152997,0.08300976570294188,6.678354278486705
QLearning,5,2,33,44,100.0,"[33, 36, 44]",14.543347802484723,26.365548034152997,0.08300976570294188,6.678354278486705
QLearning,5,3,33,44,100.0,"[33, 36, 44]",14.543347802484723,26.365548034152997,0.08300976570294188,6.678354278486705
QLearning,5,4,33,44,100.0,"[33, 36, 44]",14.543347802484723,26.365548034152997,0.08300976570294188,6.678354278486705
QLearning,6,0,40,199,400.0,"[40, 199]",5.796933429249194,10.70920580954056,0.027464322511411926,2.170456138627451
QLearning,6,1,40,199,400.0,"[40, 199]",5.796933429249194,10.70920580954056,0.027464322511411926,2.170456138627451
QLearning,6,2,40,199,400.0,"[40, 199]",5.796933429249194,10.70920580954056,0.027464322511411926,2.170456138627451
QLearning,6,3,40,199,400.0,"[40, 199]",5.796933429249194,10.70920580954056,0.027464322511411926,2.170456138627451
QLearning,6,4,40,199,400.0,"[40, 199]",5.796933429249194,10.70920580954056,0.027464322511411926,2.170456138627451
QLearning,7,0,50,180,500.0,"[50, 180]",5.166060538015906,9.774717067419122,0.02650765021706139,1.353748546206134
QLearning,7,1,50,180,500.0,"[50, 180]",5.166060538015906,9.774717067419122,0.02650765021706139,1.353748546206134
QLearning,7,2,50,180,500.0,"[50, 180]",5.166060538015906,9.774717067419122,0.02650765021706139,1.353748546206134
QLearning,7,3,50,180,500.0,"[50, 180]",5.166060538015906,9.774717067419122,0.02650765021706139,1.353748546206134
QLearning,7,4,50,180,500.0,"[50, 180]",5.166060538015906,9.774717067419122,0.02650765021706139,1.353748546206134
QLearning,8,0,60,170,150.0,"[60, 170]",7.307404811096992,13.93566900998586,0.020606171325132,1.6669422735326143
QLearning,8,1,60,170,150.0,"[60, 170]",7.307404811096992,13.93566900998586,0.020606171325132,1.6669422735326143
QLearning,8,2,60,170,150.0,"[60, 170]",7.307404811096992,13.93566900998586,0.020606171325132,1.6669422735326143
QLearning,8,3,60,170,150.0,"[60, 170]",7.307404811096992,13.93566900998586,0.020606171325132,1.6669422735326143
QLearning,8,4,60,170,150.0,"[60, 170]",7.307404811096992,13.93566900998586,0.020606171325132,1.6669422735326143
QLearning,9,0,70,160,200.0,"[70, 160]",2.735425442274601,3.1074505828089083,0.0122098174195667,5.890186028221386
QLearning,9,1,70,160,200.0,"[70, 160]",2.735425442274601,3.1074505828089083,0.0122098174195667,5.890186028221386
